Bullet nose,1
Bullet nose plunger sleeve,2
Bullet nose plunger spring,3
Bullet nose plunger,4
Bullet nose nut,5
Bullet nose ring,6
Front frame sump cover,7
Front frame sump cover bolt 1,8
Front frame sump cover bolt 2,9
Front frame sump cover bolt 3,10
Front frame ring upper,11
Front frame ring lower,12
Front frame ring screw 1,13
Front frame ring screw 2,14
Front frame ring nut 1,15
Front frame ring nut 2,16
Front frame ring support cap 1,17
Front frame ring support cap 2,18
Front frame ring support cap 3,19
Front frame ring support cap 4,20
Front frame ring support cap 5,21
Front frame ring support cap 6,22
Front frame ring support cap 7,23
Front frame ring shim 1,24
Front frame ring shim 2,25
Front frame ring shim 3,26
Front frame ring shim 4,27
Front frame ring shim 5,28
Front frame ring shim 6,29
Front frame ring shim 7,30
Front frame ring shim 8,31
Front frame ring shim 9,32
Front frame ring shim 10,33
Front frame ring shim 11,34
Front frame ring shim 12,35
Front frame ring shim 13,36
Front frame ring shim 14,37
Front frame sump O-ring,38
No.1 bearing housing,39
No.1 bearing housing stiffening rib 1,40
No.1 bearing housing stiffening rib 2,41
No.1 bearing housing stiffening rib 3,42
No.1 bearing,43
Front frame inner shell,44
Front frame outer shell,45
Front frame strut No.1,46
Front frame strut No.2,47
Front frame strut No.3,48
Front frame strut No.4,49
Front frame strut No.5,50
Front frame strut No.6,51
Front frame strut No.7,52
Front frame strut No.8,53
Front frame strut No.9,54
Front frame strut No.10,55
Front frame strut No.11,56
Front frame strut No.12,57
Front frame strut No.13,58
Front frame strut No.14,59
Front frame strut No.15,60
Front frame oil inlet fitting,61
Front frame sump fitting,62
Front frame oil vent fitting,63
Front frame oil overboard seal drain fitting,64
Front frame oil nozzle,65
Front frame ring oversize insert 1,66
Front frame ring oversize insert 2,67
Front frame ring oversize insert 3,68
Front frame ring oversize insert 4,69
Front frame ring oversize insert 5,70
Front frame ring oversize insert 6,71
Front frame ring oversize insert 7,72
Front frame ring oversize insert 8,73
Front frame ring oversize insert 9,74
Front frame ring oversize insert 10,75
Front frame ring oversize insert 11,76
Front frame ring oversize insert 12,77
Front frame ring oversize insert 13,78
Front frame ring oversize insert 14,79
Front frame ring oversize insert 15,80
Front frame oil nozzle patch,81
Front frame variable inlet guide vane 1,82
Front frame variable inlet guide vane 2,83
Front frame variable inlet guide vane 3,84
Front frame variable inlet guide vane 4,85
Front frame variable inlet guide vane 5,86
Front frame variable inlet guide vane 6,87
Front frame variable inlet guide vane 7,88
Front frame variable inlet guide vane 8,89
Front frame variable inlet guide vane 9,90
Front frame variable inlet guide vane 10,91
Front frame variable inlet guide vane 11,92
Front frame variable inlet guide vane 12,93
Front frame variable inlet guide vane 13,94
Front frame variable inlet guide vane 14,95
